Title,description,Annotator,Category,Sentiment
Lacking the Votes: Schumer Abandons Embattled Biden Judicial Nominee Adeel Mangi,"Senate Majority Leader Chuck Schumer has abandoned hopes of confirming Third Circuit Appeals Court nominee Adeel Mangi, whom some Senate Democrats opposed over links to anti-police groups uncovered by the Washington Free Beacon.The post Lacking the Votes:",Khyati,Executive Affairs,Neutral
"Biden still does not plan to pardon his son Hunter, White House says",President Biden said earlier this year he would not pardon his son or commute a potential prison sentence.,Khyati,Executive Affairs,Neutral
How Bidens Critical Failure Gave Trump Another Shot At The White House,Bidens choice not to step aside denied Democrats a chance for renewal - and paved the way for Trumps return.,Khyati,Election,Negative
Pod Save America Host Calls Bidens Choice To Run Again Catastrophic,"Joe Biden doomed Kamala Harris presidential campaign when he opted to run for a second term, podcaster and former Obama speechwriter Jon Favreau argued.",Khyati,Election,Negative
"Biden jokes, dribbles basketball as he hosts NBA champs in first event since turning 82: Youre Celtics, right?","WASHINGTON - Retiring President Biden appeared in public Thursday for the first time since turning 82 - jokingly asking the NBA championship-winning Boston Celtics to confirm youre Celtics, right in brief public remarks before dribbling a basketball in fro",Khyati,Personality/Character,Positive
Pollster Nate Silver calls on Biden to resign after claiming he isnt competent: Let Harris serve,Election guru Nate Silver argued theres no particular reason to assume Biden is competent to be president right now and called for him to resign.,Khyati,Election,Negative
Trump is back: how Biden will tweak his Americas back message at APEC and the G20,"President Biden used to tell world leaders America is back, implying the Trump eras go-it-alone ethos was a one-term blip. But Biden needs a new line for this weeks APEC and G20 summits.",Khyati,Foreign Policy & Relations,Neutral
Joe Biden Is Acting Like He Doesnt Want Kamala To Win,"For all the talk of ending his campaign to ensure his legacy, Biden certainly doesnt seem to see a President Harris as part of that legacy.",Khyati,Election,Negative
Biden administration races to shell out billions for clean energy as election nears,Biden wants to establish a legacy for climate action that includes locking in a trajectory for reducing the nations planet-warming greenhouse gas emissions.,Khyati,Domestic Affairs & Policy,Positive
Editorial Roundup: United States,"Excerpts from recent editorials in the United States and abroad:___Nov. 8The Washington Post says Democrats hurt themselves trying to protect Joe BidenVice President Kamala Harris didnt just call special counsel Robert K. Hurs report gratuitous, in",Khyati,Election,Negative
House Intel Committee chair demands WH briefing on North Korean troops in Russia for possible Ukraine deployment,"North Korean troops, either attacking Ukraine from Russian territory or entering into Ukrainian territory, must be a red line for the United States and NATO, House Intel Committee Chairman Mike Turner wrote in a letter to President Biden.",Khyati,Foreign Policy & Relations,Neutral
Voters punished Biden for problems he didnt cause and effectively addressed,"Joe Biden has been a highly successful president, especially on economics. He signed a series of highly consequential bills and has an exemplary labor record.",Khyati,Election,Positive
"Bidens final months may offer conflict opportunities, even as Trumps return looms",President Joe Biden will see out his term knowing that President-elect Donald Trump -- a man he called a genuine danger to American security -- will succeed him.,Khyati,Election,Negative
Biden to host Trump at White House in symbolic peaceful transfer of power,President-elect Donald Trump will return to Washington on Wednesday - entering the White House for the first time since being voted out of office - to meet with President Joe Biden for a ceremony meant to signal the peaceful transfer of power.,Khyati,Election,Neutral
"Leftists Pledge to Load Up on Supplies Before Biden Leaves Office, Buy Nothing for the Next Four Years to Tank Trump Economy","Leftists have a master plan to ensure that President-elect Donald Trumps economy tanks: They are not going to buy anything. The post Leftists Pledge to Load Up on Supplies Before Biden Leaves Office, Buy Nothing for the Next Four Years to Tank Trump Econo",Khyati,Domestic Affairs & Policy,Negative
The parts of Joe Bidens legacy that are most - and least - in danger under Trump,"What Biden laws and executive actions Donald Trump could undo, including on immigration, student loan forgiveness and transgender rights.",Khyati,Domestic Affairs & Policy,Positive
Pelosi Says Election Could Have Been Different If Biden Stepped Aside - As Dems Pile On,"The country is headed in a very dangerous direction and its due in part to his arrogance, veteran Democratic aide Jim Manley told Politico.",Khyati,Election,Negative
Why the White House hasnt benefited much from investing in infrastructure,"The Biden administration is touting the third anniversary of the bipartisan infrastructure law that pumped billions into roads, bridges, airports and more. But theres been little political benefit.",Khyati,Domestic Affairs & Policy,Negative
What could Trump do to lower grocery prices? Experts weigh in,Food prices have climbed more than 25% since President Joe Biden took office.,Khyati,Domestic Affairs & Policy,Negative
"Dems rip Mayorkas, Wray for skipping hearing on threats facing the American homeland in a shocking departure from tradition",Senate Homeland Security Committee Chairman Gary Peters (D-Mich.) lashed out at the two Biden administration officials for refusing to appear for a worldwide threats hearing.,Khyati,Foreign Policy & Relations,Negative
Biden to discuss Ukraine with allies on swansong Berlin trip,"Biden, who dropped out of the race in July in favor of Harris, is due before lunch to hold closed-door talks with Chancellor Olaf Scholz in the late morning on security, trade and other economic issues.",Khyati,Foreign Policy & Relations,Negative
"Xi, Biden to meet as Trump return looms","US President Joe Biden and Chinese counterpart Xi Jinping will meet for the last time Saturday, a day after both leaders warned of turbulent times ahead for ...",Khyati,Foreign Policy & Relations,Positive
"Gov. Josh Shapiro Cant Name One Policy Difference Between Harris, Biden Despite Multiple Tries From NBC Host","PA Gov. Josh Shapiro couldnt name one policy difference between Harris and Biden, despite NBC host Kristen Welker giving him multiple opportunities to do so.",Khyati,Election,Negative
Trump and Biden both call for smooth transition in historic Oval Office meeting,President-elect Donald Trump was welcomed at the White House on Wednesday after declining to do the same for President Joe Biden after the 2020 election.,Khyati,Executive Affairs,Neutral
"Trump: Netanyahu Is Winning by Doing the Opposite of What Biden, Harris Say","Trump: If you did the exact opposite of what [Biden] suggested every single time, youd go down as the greatest foreign policy president in history.The post Trump: Netanyahu Is Winning by Doing the Opposite of What Biden, Harris Say appeared first on Breit",Khyati,Foreign Policy & Relations,Negative
A methane pollution fee on oil and gas faces a cloudy future under Trump,"The Biden administration issued a new fee on climate-warming methane pollution, but the EPA regulation faces an uncertain future under President-elect Trump",Khyati,Domestic Affairs & Policy,Negative
Judge strikes down Biden program shielding immigrant spouses from deportation,A federal judge on Thursday struck down a Biden administration policy that aimed to ease a path to citizenship for some undocumented immigrants who are married to U.S. citizens.,Khyati,Domestic Affairs & Policy,Positive
Biden to host Trump at White House on Wednesday,"President Joe Biden and President-elect Donald Trump will meet at the White House on Wednesday morning, the White House announced on Saturday.",Khyati,Executive Affairs,Neutral
"Biden and Trump Will Meet in the Oval Office on Wednesday, the White House Says",A meeting between the outgoing President and the incoming President is typically meant to mark the start of a peaceful transfer of power.,Khyati,Executive Affairs,Neutral
How Trump won the biggest Muslim-majority city in America,"Kamala Harris humiliating loss in Dearborn, Michigan can only be blamed on the Biden administration and her own campaigns failures.",Khyati,Election,Negative
"US, Japan, South Korea coordinate response to North Korean threats","U.S. President Joe Biden will meet with leaders of South Korea and Japan Friday to come up with a coordinated response to the deployment of thousands of North Korean troops to help Moscows war against Ukraine and on Pyongyangs nuclear threat more broadly,",Khyati,Foreign Policy & Relations,Neutral
